,Region,Province,City,Longtitude,Latitude,Rate
56,华南,广东,佛山,113.12,23.02,3
57,华南,广东,中山,113.38,22.52,2
58,华南,广东,江门,113.08,22.58,3
59,华南,广东,东莞,113.75,23.05,3
60,华南,广东,惠州,114.42,23.12,3
61,华南,广东,肇庆,112.47,23.05,2
62,华南,广西壮族自治区,南宁,108.37,22.82,1
63,华南,海南,海口,110.32,20.03,1
64,西南,重庆,重庆,106.55,29.57,1
65,西南,四川,成都,104.07,30.67,1
66,西南,贵州,贵阳,106.63,26.65,1
67,西南,云南,昆明,102.72,25.05,1
68,西南,西藏自治区,拉萨,91.13,29.65,1
69,西北,陕西,西安,108.93,34.27,1
70,西北,甘肃,兰州,103.82,36.07,1
71,西北,青海,西宁,101.78,36.62,1
72,西北,宁夏回族自治区,银川,106.28,38.47,1
73,西北,新疆维吾尔自治区,乌鲁木齐,87.62,43.82,1
74,华中,湖南,湘潭,112.93,27.83,3
75,华中,湖南,株洲,113.13,27.83,3
76,华北,内蒙古自治区,包头,109.83,40.65,2
77,华北,内蒙古自治区,鄂尔多斯,109.8,39.62,2
78,东北,辽宁,营口,122.23,40.67,2
79,东北,辽宁,丹东,124.38,40.13,2
80,东北,辽宁,盘锦,122.07,41.12,2
81,东北,辽宁,葫芦岛,120.83,40.72,2
82,华东,福建,泉州,118.67,24.88,2
83,华东,山东,临沂,118.35,35.05,2
84,华东,山东,德州,116.3,37.45,2
85,华东,山东,聊城,115.98,36.45,2
86,华东,山东,滨州,117.97,37.38,2
87,华东,山东,淄博,118.05,36.82,2
88,华东,山东,枣庄,117.32,34.82,2
89,华东,山东,烟台,121.43,37.45,2
90,华东,山东,潍坊,119.15,36.7,2
91,华东,山东,济宁,116.58,35.42,2
92,华东,山东,泰安,117.08,36.2,3
93,华东,山东,日照,119.52,35.42,2
94,华东,山东,威海,122.12,37.52,2
95,华东,山东,东营,118.67,37.43,2
96,华南,广东,韶关,113.6,24.82,2
97,华南,广东,汕头,116.68,23.35,2
98,华南,广东,湛江,110.35,21.27,2
99,华南,广东,茂名,110.92,21.67,2
100,华南,广东,梅州,116.12,24.28,2
101,华南,广东,汕尾,115.37,22.78,2
102,华南,广东,河源,114.7,23.73,2
103,华南,广东,阳江,111.98,21.87,2
104,华南,广东,清远,113.03,23.7,2
105,华南,广东,潮州,116.62,23.67,2
106,华南,广东,揭阳,116.37,23.55,2
107,华南,广东,云浮,112.03,22.92,3
108,西南,云南,玉溪,102.55,24.35,3
109,华东,山东,菏泽,115.47,35.25,2
110,华北,山西,大同,113.3,40.08,2
111,华北,山西,长治,113.12,36.2,2
112,华北,山西,临汾,111.52,36.08,2
113,华北,山西,阳泉,113.57,37.85,2
114,华北,内蒙古自治区,赤峰,118.92,42.27,2
115,东北,辽宁,鞍山,122.98,41.1,3
116,东北,辽宁,抚顺,123.98,41.88,2
117,东北,辽宁,本溪,123.77,41.3,3
118,东北,辽宁,锦州,121.13,41.1,2
119,东北,吉林,吉林,126.55,43.83,2
120,东北,黑龙江,齐齐哈尔,123.95,47.33,2
121,东北,黑龙江,牡丹江,129.6,44.58,2
122,东北,黑龙江,大庆,125.03,46.58,2
123,华东,安徽,芜湖,118.38,31.33,3
124,华东,安徽,马鞍山,118.5,31.7,2
125,华东,江西,九江,116,29.7,2
126,华中,河南,洛阳,112.45,34.62,2
127,华中,河南,安阳,114.38,36.1,2
128,华中,河南,开封,114.3,34.8,2
129,华中,河南,焦作,113.25,35.22,2
130,华中,河南,平顶山,113.18,33.77,2
131,华中,河南,三门峡,111.2,34.78,2
132,华中,湖北,宜昌,111.28,30.7,2
133,华中,湖北,荆州,112.23,30.33,2
134,华中,湖南,岳阳,113.12,29.37,2
135,华中,湖南,常德,111.68,29.05,2
136,华中,湖南,张家界,110.47,29.13,2
137,华南,广西壮族自治区,桂林,110.28,25.28,2
138,华南,广西壮族自治区,北海,109.12,21.48,2
139,华南,广西壮族自治区,柳州,109.42,24.33,2
140,华南,海南,三亚,109.5,18.25,2
141,西南,四川,绵阳,104.73,31.47,2
142,西南,四川,宜宾,104.62,28.77,2
143,西南,四川,攀枝花,101.72,26.58,2
144,西南,四川,泸州,105.43,28.87,2
145,西南,四川,自贡,104.78,29.35,3
146,西南,四川,德阳,104.38,31.13,3
147,西南,四川,南充,106.08,30.78,2
148,西南,贵州,遵义,106.92,27.73,2
149,西南,云南,曲靖,103.8,25.5,2
150,西北,陕西,咸阳,108.7,34.33,3
151,西北,陕西,铜川,108.93,34.9,2
152,西北,陕西,延安,109.48,36.6,2
153,西北,陕西,宝鸡,107.13,34.37,2
154,西北,陕西,渭南,109.5,34.5,2
155,西北,甘肃,金昌,102.18,38.5,2
156,西北,甘肃,嘉峪关,98.27,39.8,3
157,西北,宁夏回族自治区,石嘴山,106.38,39.02,2
158,西北,新疆维吾尔自治区,克拉玛依,84.87,45.6,2
159,华东,山东,寿光,118.73,36.88,3
160,华东,山东,章丘,117.53,36.72,3
161,华东,山东,即墨,120.45,36.38,3
162,华东,山东,胶南,120.03,35.87,3
163,华东,山东,胶州,120.03,36.27,3
164,华东,山东,莱西,120.5,36.87,3
165,华东,山东,平度,119.95,36.78,3
166,华东,山东,蓬莱,120.75,37.82,3
167,华东,山东,招远,120.4,37.37,3
168,华东,山东,莱州,119.93,37.18,3
169,华东,山东,荣成,122.42,37.17,3
170,华东,山东,文登,122.05,37.2,3
171,华东,山东,乳山,121.53,36.92,3
172,华东,江苏,吴江,120.63,31.17,3
173,华东,江苏,昆山,120.98,31.38,3
174,华东,江苏,常熟,120.75,31.65,3
175,华东,江苏,张家港,120.55,31.87,3
176,华东,江苏,太仓,121.1,31.45,3
177,华东,江苏,句容,119.17,31.95,3
178,华东,江苏,江阴,120.27,31.9,3
179,华东,江苏,宜兴,119.82,31.35,3
180,华东,江苏,金坛,119.57,31.75,3
181,华东,江苏,溧阳,119.48,31.42,3
182,华东,江苏,海门,121.17,31.9,3
183,华东,浙江,临安,119.72,30.23,3
184,华东,浙江,富阳,119.95,30.05,3
185,华东,浙江,义乌,120.07,29.3,3
186,华东,浙江,诸暨,120.23,29.72,3
187,东北,辽宁,瓦房店,122,39.62,3
188,华东,山东,信阳,114.07,32.13,3
189,华中,河南,周口,114.65,33.62,2
190,华东,福建,漳州,117.65,24.52,3
191,华北,山西,晋城,112.83,35.5,3
192,华北,山西,朔州,112.43,39.33,2
193,华北,山西,晋中,112.75,37.68,3
194,华北,山西,运城,110.98,35.02,3
195,华北,山西,忻州,112.73,38.42,2
196,华北,山西,吕梁,111.13,37.52,2
197,华北,内蒙古自治区,乌海,106.82,39.67,2
198,华北,内蒙古自治区,通辽,122.27,43.62,2
199,华北,内蒙古自治区,呼伦贝尔,119.77,49.22,2
200,华北,内蒙古自治区,巴彦淖尔,107.42,40.75,2
201,华北,内蒙古自治区,乌兰察布,113.12,40.98,2
202,华北,内蒙古自治区,兴安盟,122.05,46.08,2
203,华北,内蒙古自治区,锡林郭勒盟,116.07,43.95,2
204,华北,内蒙古自治区,阿拉善盟,105.67,38.83,2
205,东北,辽宁,阜新,121.67,42.02,2
206,东北,辽宁,辽阳,123.17,41.27,2
207,东北,辽宁,铁岭,123.83,42.28,2
208,东北,辽宁,朝阳,120.45,41.57,2
209,东北,吉林,四平,124.35,43.17,2
210,东北,吉林,辽源,125.13,42.88,2
211,东北,吉林,通化,125.93,41.73,2
212,东北,吉林,白山,126.42,41.93,2
213,东北,吉林,松原,124.82,45.13,2
214,东北,吉林,白城,122.83,45.62,2
215,东北,黑龙江,鸡西,130.97,45.3,2
216,东北,黑龙江,鹤岗,130.27,47.33,2
217,东北,黑龙江,双鸭山,131.15,46.63,2
218,东北,黑龙江,伊春,128.9,47.73,2
219,东北,黑龙江,佳木斯,130.37,46.82,2
220,东北,黑龙江,七台河,130.95,45.78,2
221,东北,黑龙江,黑河,127.48,50.25,3
222,东北,黑龙江,绥化,126.98,46.63,2
223,东北,黑龙江,大兴安岭地区,124.12,50.42,3
224,华东,安徽,蚌埠,117.38,32.92,2
225,华东,安徽,淮南,117,32.63,3
226,华东,安徽,淮北,116.8,33.95,3
227,华东,安徽,铜陵,117.82,30.93,2
228,华东,安徽,安庆,117.05,30.53,2
229,华东,安徽,黄山,118.33,29.72,2
230,华东,安徽,滁州,118.32,32.3,3
231,华东,安徽,阜阳,115.82,32.9,2
232,华东,安徽,宿州,116.98,33.63,2
233,华东,安徽,六安,116.5,31.77,3
234,华东,安徽,亳州,115.78,33.85,2
235,华东,安徽,池州,117.48,30.67,3
236,华东,安徽,宣城,118.75,30.95,2
237,华东,福建,莆田,119,25.43,2
238,华东,福建,三明,117.62,26.27,2
239,华东,福建,南平,118.17,26.65,2
240,华东,福建,龙岩,117.03,25.1,2
241,华东,福建,宁德,119.52,26.67,2
242,华东,江西,景德镇,117.17,29.27,2
243,华东,江西,萍乡,113.85,27.63,2
244,华东,江西,新余,114.92,27.82,2
245,华东,江西,鹰潭,117.07,28.27,2
246,华东,江西,赣州,114.93,25.83,2
247,华东,江西,吉安,114.98,27.12,2
248,华东,江西,宜春,114.38,27.8,2
249,华东,江西,抚州,116.35,28,2
250,华东,江西,上饶,117.97,28.45,2
251,华中,河南,鹤壁,114.28,35.75,2
252,华中,河南,新乡,113.9,35.3,2
253,华中,河南,濮阳,115.03,35.77,2
254,华中,河南,许昌,113.85,34.03,2
255,华中,河南,漯河,114.02,33.58,2
256,华中,河南,南阳,112.52,33,2
257,华中,河南,商丘,115.65,34.45,2
258,华中,河南,驻马店,114.02,32.98,2
259,华中,湖北,黄石,115.03,30.2,2
260,华中,湖北,十堰,110.78,32.65,2
261,华中,湖北,襄阳,112.2,32.08,2
262,华中,湖北,鄂州,114.88,30.4,3
263,华中,湖北,荆门,112.2,31.03,2
264,华中,湖北,孝感,113.92,30.93,2
265,华中,湖北,黄冈,114.87,30.45,3
266,华中,湖北,咸宁,114.32,29.85,2
267,华中,湖北,随州,113.37,31.72,2
268,华中,湖南,衡阳,112.57,26.9,2
269,华中,湖南,邵阳,111.47,27.25,2
270,华中,湖南,益阳,112.32,28.6,2
271,华中,湖南,郴州,113.02,25.78,2
272,华中,湖南,永州,111.62,26.43,2
273,华中,湖南,怀化,110,27.57,2
274,华中,湖南,娄底,112,27.73,2
275,华中,湖南,湘西州,109.73,28.32,2
276,华南,广西壮族自治区,梧州,111.27,23.48,2
277,华南,广西壮族自治区,防城港,108.35,21.7,3
278,华南,广西壮族自治区,钦州,108.62,21.95,2
279,华南,广西壮族自治区,贵港,109.6,23.1,2
280,华南,广西壮族自治区,玉林,110.17,22.63,2
281,华南,广西壮族自治区,百色,106.62,23.9,2
282,华南,广西壮族自治区,贺州,111.55,24.42,2
283,华南,广西壮族自治区,河池,108.07,24.7,2
284,华南,广西壮族自治区,来宾,109.23,23.73,2
285,华南,广西壮族自治区,崇左,107.37,22.4,2
286,西南,四川,广元,105.83,32.43,2
287,西南,四川,遂宁,105.57,30.52,2
288,西南,四川,内江,105.05,29.58,2
289,西南,四川,乐山,103.77,29.57,2
290,西南,四川,眉山,103.83,30.05,2
291,西南,四川,广安,106.63,30.47,2
292,西南,四川,达州,107.5,31.22,2
293,西南,四川,雅安,103,29.98,2
294,西南,四川,巴中,106.77,31.85,2
295,西南,四川,资阳,104.65,30.12,2
296,西南,四川,甘孜州,101.97,30.05,2
297,西南,贵州,六盘水,104.83,26.6,2
298,西南,贵州,安顺,105.95,26.25,2
299,西南,贵州,铜仁地区,109.18,27.72,2
300,西南,贵州,毕节,105.28,27.3,2
301,西南,贵州,黔东南州,107.97,26.58,2
302,西南,云南,保山,99.17,25.12,2
303,西南,云南,昭通,103.72,27.33,2
304,西南,云南,丽江,100.23,26.88,2
305,西南,云南,普洱,100.97,22.78,2
306,西南,云南,临沧,100.08,23.88,2
307,西南,云南,楚雄州,101.55,25.03,2
308,西南,云南,红河州,103.4,23.37,2
309,西南,云南,文山州,104.25,23.37,2
310,西南,云南,西双版纳州,100.8,22.02,3
311,西南,云南,大理州,100.23,25.6,2
312,西南,云南,德宏州,98.58,24.43,3
313,西南,云南,怒江州,98.85,25.85,3
314,西南,云南,迪庆州,99.7,27.83,2
315,西南,西藏自治区,昌都,97.18,31.13,2
316,西南,西藏自治区,山南,91.77,29.23,2
317,西南,西藏自治区,日喀则,88.88,29.27,2
318,西南,西藏自治区,那曲地区,92.07,31.48,2
319,西南,西藏自治区,阿里地区,80.1,32.5,2
320,西南,西藏自治区,林芝,94.37,29.68,2
321,西北,陕西,汉中,107.02,33.07,2
322,西北,陕西,榆林,109.73,38.28,2
323,西北,陕西,安康,109.02,32.68,2
324,西北,陕西,商洛,109.93,33.87,2
325,西北,甘肃,白银,104.18,36.55,2
326,西北,甘肃,天水,105.72,34.58,2
327,西北,甘肃,武威,102.63,37.93,2
328,西北,甘肃,张掖,100.45,38.93,2
329,西北,甘肃,平凉,106.67,35.55,2
330,西北,甘肃,酒泉,98.52,39.75,2
331,西北,甘肃,庆阳,107.63,35.73,2
332,西北,甘肃,定西,104.62,35.58,2
333,西北,甘肃,陇南,104.92,33.4,2
334,西北,甘肃,甘南州,102.92,34.98,3
335,西北,青海,海东地区,102.12,36.5,2
336,西北,宁夏回族自治区,吴忠,106.2,37.98,3
337,西北,宁夏回族自治区,中卫,105.18,37.52,2
338,西北,宁夏回族自治区,固原,106.28,36,2
339,西北,新疆维吾尔自治区,吐鲁番地区,89.17,42.95,2
340,西北,新疆维吾尔自治区,哈密地区,93.52,42.83,2
341,西北,新疆维吾尔自治区,昌吉州,87.3,44.02,2
342,西北,新疆维吾尔自治区,阿克苏地区,80.27,41.17,2
343,西北,新疆维吾尔自治区,喀什地区,75.98,39.47,2
344,西北,新疆维吾尔自治区,和田地区,79.92,37.12,2
345,西北,新疆维吾尔自治区,伊犁哈萨克州,81.32,43.92,2
346,西北,新疆维吾尔自治区,塔城地区,82.98,46.75,2
347,西北,新疆维吾尔自治区,阿勒泰地区,88.13,47.85,2
348,西北,新疆维吾尔自治区,石河子,86.03,44.3,3
349,西北,新疆维吾尔自治区,五家渠,87.53,44.17,3
350,华南,海南,三沙,112.35,16.83,2
